CID,z,RA,DEC,Delta_clean,Delta_hat_corr,Delta_post
PTF10icb,0.009,193.705,58.8819,-1.0608753604772745,-0.83046905417609,-0.23040630630118453
2009Y,0.0105,220.599,-17.2468,-1.8306004424637827,-0.9669516247678498,-0.8636488176959329
2009Y,0.0105,220.599,-17.2468,-1.7648815635054345,-0.5238801381127074,-1.241001425392727
2009Y,0.0105,220.599,-17.2468,-1.6362801793169153,-0.47689598352909945,-1.159384195787816
2013E,0.01042,150.023,-34.2337,-1.7657295765673116,-1.0317352984977182,-0.7339942780695934
1999ac,0.00979,241.812,7.9723,-1.5952343754460367,-0.7334853909531901,-0.8617489844928466
1999ac,0.00979,241.812,7.9723,-1.5492723766125844,-0.9895762618584507,-0.5596961147541337
2009an,0.00921,185.697,65.8512,-1.1029527563320314,-0.41157358746126804,-0.6913791688707633
2009an,0.00921,185.697,65.8512,-1.2084954457038615,-0.31622097379402836,-0.8922744719098331
2006bh,0.01042,340.067,-66.4851,-1.1940227182388674,-0.7170157937249847,-0.4770069245138827
2004S,0.0098,101.431,-31.2312,-1.3890099555760773,-0.8891232029118337,-0.49988675266424365
2021hpr,0.00958,154.161,73.4005,-1.4286179500302396,-0.7009252851332429,-0.7276926648969967
2002dp,0.01049,352.127,22.4289,-1.1211273997150477,-0.4332053832421371,-0.6879220164729106
2002dp,0.01049,352.127,22.4289,-1.1910917761663975,-0.5868593889764384,-0.6042323871899591
1997do,0.01048,111.677,47.0933,-1.4193959194108146,-0.842585803318108,-0.5768101160927066
1997bq,0.00993,154.272,73.3839,-1.3979408494720822,-0.8536122419735757,-0.5443286074985065
2008fv_comb,0.00993,154.239,73.4101,-1.3455479493882585,-0.5242201708484291,-0.8213277785398294
ASASSN-16jf,0.0104,339.247,-25.232,-0.8681291284486901,-0.21694645326444223,-0.6511826751842478
iPTF13ebh,0.01238,35.4999,33.2705,-0.6980220569446995,-0.6234634115196676,-0.07455864542503199
iPTF13ebh,0.01238,35.4999,33.2705,-0.8089567643640901,-0.19850710172640115,-0.610449662637689
2010ko,0.01096,83.206,-14.0961,-0.5758035566553572,-0.8353251783256487,0.25952162167029147
2013ex,0.01096,83.1942,-14.0459,-1.0978549979846064,-0.4249348209611349,-0.6729201770234715
2013ex,0.01096,83.1942,-14.0459,-1.0497339307024809,-0.7487132900452202,-0.30102064065726064
2009ab,0.01189,64.1516,2.7642,-0.9326633171553466,-0.26241002034323274,-0.6702532968121138
2011ao,0.01168,178.463,33.3629,-1.0969924124764152,-0.5737860173271525,-0.5232063951492627
2001cz,0.01275,191.876,-39.58,-0.6813773658234381,-0.6378680294944069,-0.0435093363290312
2009kk,0.01244,57.4345,-3.2644,-0.8266589879052884,-0.5145416306818928,-0.3121173572233955
2010Y,0.01142,162.766,65.7797,-0.6947303805499802,-0.4610023397884111,-0.23372804076156906
2008R,0.0126,45.9738,-11.9943,-0.6181916871694545,-0.23684468140333892,-0.3813470057661156
2002ha,0.0122,311.827,0.3127,-0.8020745732133935,-0.4497058533002847,-0.3523687199131088
2002ha,0.0122,311.827,0.3127,-0.7884682500637417,-0.33449334536637443,-0.45397490469736723
2009kq,0.01247,129.063,28.0671,-0.9827855804451998,-0.18257064860407834,-0.8002149318411215
2009kq,0.01247,129.063,28.0671,-1.0497014990230993,-0.46665475082549057,-0.5830467481976087
2001bt,0.01407,288.445,-59.2897,-0.7490957230140202,-0.5000233069564626,-0.2490724160575576
2001ep,0.01306,74.2511,-4.7612,-0.8886122244214388,-0.5261423596197199,-0.36246986480171894
2001ep,0.01306,74.2511,-4.7612,-1.0020754051908964,-0.3961359743043623,-0.6059394308865341
2013gy,0.01309,55.5703,-4.7218,-0.8163408531534514,-0.19304222944090488,-0.6232986237125465
2013gy,0.01309,55.5703,-4.7218,-0.7907977746126158,-0.5383470866850003,-0.2524506879276155
AT2017cfd,0.01222,130.204,73.4875,-0.940740800430755,0.09344871116806634,-1.0341895115988213
2017cfd,0.01222,130.204,73.4875,-0.9330788685628603,-0.13264956866126398,-0.8004292999015963
1999dq,0.01334,38.4987,20.9751,-1.1041608740327602,-0.31125567303053125,-0.7929052010022289
1999dq,0.01334,38.4987,20.9751,-1.143122425513852,-0.5705997474808631,-0.5725226780329888
2007hj,0.01288,345.449,15.5865,-0.4549142284247132,-0.32447812017014244,-0.13043610825457075
2007hj,0.01288,345.449,15.5865,-0.4513520883992612,-0.002852321190606827,-0.44849976720865437
2007hj,0.01288,345.449,15.5865,-0.5012243471940154,0.04917449350637812,-0.5503988407003936
2008hv,0.0136,136.892,3.3923,-0.7499915992324963,-0.5117471120843862,-0.23824448714811008
2008hv,0.0136,136.892,3.3923,-0.7793627233612375,-0.09154252392352007,-0.6878201994377174
2008hv,0.0136,136.892,3.3923,-0.7711860143775024,-0.0361202886226718,-0.7350657257548306
1997E,0.01314,101.909,74.4975,-0.7139807220586949,-0.6123240111362076,-0.10165671092248729
2007cv,0.01361,159.439,-27.0825,-0.7986085495281972,-0.6889810962246401,-0.10962745330355705
1992al,0.01434,311.485,-51.3944,-0.9170420158171979,-0.4384866463037182,-0.4785553695134797
1999dk,0.014,22.8622,14.2849,-0.8011903372006098,-0.19208797194737937,-0.6091023652532305
1999dk,0.014,22.8622,14.2849,-0.9039663238421145,-0.3064816420303961,-0.5974846818117184
ASASSN-16dn,0.01406,162.206,-20.2639,-0.8161871867862325,0.05802519787141552,-0.874212384657648
ASASSN-16la,0.01424,37.3226,18.0879,-0.8157062299430629,0.30656462279002084,-1.1222708527330836
2005kc,0.01386,338.531,5.5684,-0.486793822849122,0.06014532047419252,-0.5469391433233145
2005kc,0.01386,338.531,5.5684,-0.4732598898594832,0.06889159570350423,-0.5421514855629874
2007ca,0.01509,202.774,-15.1018,-0.25731207658920513,-0.48924200922624056,0.23192993263703543
2007ca,0.01509,202.774,-15.1018,-0.3924993377280339,-0.2284569865836637,-0.1640423511443702
2007ca,0.01509,202.774,-15.1018,-0.3167019654255362,-0.23508739109630467,-0.08161457432923153
2006N,0.01416,92.1302,64.7236,-0.5957847130377029,0.030958925920231417,-0.6267436389579343
2006td,0.01504,29.5657,36.3494,-0.33250351028087655,0.13701186576537072,-0.46951537604624727
2013gq,0.01457,124.473,23.4696,-0.8336264443949075,-0.022627422339121073,-0.8109990220557864
2004eo,0.0142,308.226,9.9285,-0.6557246470155315,0.027608475041358268,-0.6833331220568897
2003gt,0.01422,308.246,9.872,-0.6623553639020812,-0.2885534853801135,-0.37380187852196767
2005bo,0.01503,192.421,-11.0965,-0.7323337858351747,-0.13078734398053188,-0.6015464418546428
2005bo,0.01503,192.421,-11.0965,-0.7602277444830443,-0.5076327116897209,-0.2525950327933234
2001fe,0.01448,144.488,25.4948,-0.754038087252896,-0.18056602409013292,-0.5734720631627631
