CID,z,RA,DEC,Delta_clean,Delta_hat_corr,Delta_post
2007jg,0.03652,52.4617,0.0568,1.3481568825648973,0.5598936427286344,0.7882632398362629
2007jg,0.03652,52.4617,0.0568,1.260902047069717,0.5696929290479265,0.6912091180217905
AT2016cvw,0.03761,341.553,10.5588,1.106969333220184,0.8843367615114919,0.2226325717086921
2002eu,0.03672,27.4317,32.6286,1.1887872352678153,0.345320990028709,0.8434662452391063
2008gb,0.03641,44.488,46.8657,1.1062446944112374,0.7639301744811267,0.34231451993011075
2007O,0.03732,224.022,45.4047,0.8885734887686736,0.344661431058115,0.5439120577105586
2007O,0.03732,224.022,45.4047,0.879449655664962,0.6529136095878298,0.22653604607713218
2008fr,0.0379,17.9548,14.6408,1.0515747297843485,0.33171049174522693,0.7198642380391216
SN2017ciy,0.03762,256.029,25.0529,1.4503520307163895,0.7136587564112017,0.7366932743051878
2008O,0.0394,104.394,-45.8123,1.361969673289671,0.4505303700719696,0.9114393032177013
2009bv,0.03748,196.835,35.7844,1.1978867898569956,0.7188177512859679,0.47906903857102767
2008051,0.03835,229.995,4.9046,0.9254490758707442,0.6711564047428176,0.25429267112792664
ASASSN-15np,0.03832,226.511,7.5615,1.082980974398662,0.8032193139641387,0.27976166043452333
2010dw,0.03871,230.668,-5.9211,1.0003263357802614,0.2682449469802558,0.7320813888000056
ASASSN-15pn,0.038,60.8598,-5.492,1.1722475873427083,0.773461202159161,0.39878638518354725
1999aw,0.03928,165.402,-6.1088,1.050542432270375,0.1850225337793074,0.8655198984910675
2008dr,0.03996,332.715,2.1082,1.3079652640734745,0.28210062853630746,1.025864635537167
PS15cze,0.03891,56.8476,0.8772,1.6094352320839918,0.8576830132672225,0.7517522188167692
2003fa,0.04015,266.032,40.881,0.8805288658716195,0.41494141426698417,0.4655874516046353
2003fa,0.04015,266.032,40.881,0.9416291087981431,0.5148875017433747,0.4267416070547684
SN2016glz,0.03975,1.4732,8.4302,0.893765232551817,0.8855757874321633,0.008189445119653693
PS16axi,0.04056,162.03,0.1635,1.096963074255281,0.7432347451871442,0.3537283290681368
SN2017coa,0.04045,132.48,56.099,1.3056687923258505,0.14158500138796468,1.1640837909378858
2009do,0.04027,188.743,50.8512,1.036721717418777,0.6837444080625178,0.35297730935625926
2001az,0.04059,248.615,76.0297,1.1775703855726232,0.49598219773490787,0.6815881878377152
2007jh,0.04023,54.0064,1.1034,1.6635220543104627,0.7272516163532861,0.9362704379571767
1992bl,0.0428,348.805,-44.7433,1.173192828623087,0.3161257077410363,0.8570671208820507
2014bj,0.04239,290.663,43.8908,1.3721587127891774,-0.6418079122705691,2.0139666250597466
2006cf,0.04223,163.511,46.0267,1.1782023395478989,0.6884881825934699,0.489714156954429
2006cz,0.04251,222.153,-4.7419,0.7819290198919868,0.6946027155951567,0.08732630429683008
2007kk,0.0413,55.5969,39.2418,1.1178068138753692,0.7403484299692421,0.37745838390612707
2007kk,0.0413,55.5969,39.2418,1.0729807946963907,0.8369886531505277,0.235992141545863
AT2016htm,0.04265,38.0109,-26.6659,1.1023133121848723,0.7437802363261516,0.35853307585872063
ASASSN-16ct,0.04252,228.476,4.7573,1.074007975259134,0.8169598766252457,0.25704809863388833
SN2016ayg,0.04328,112.572,25.0321,1.2792878451269267,0.9113611665329957,0.367926678593931
2007nq,0.04275,14.3899,-1.3886,1.1928922797368013,0.6444321418788329,0.5484601378579684
2007nq,0.04275,14.3899,-1.3886,1.2513765091664,0.726682321415263,0.524694187751137
MASTERJ0134,0.04391,23.5627,-17.8121,1.0924759074630446,0.8148942972102877,0.27758161025275685
ASASSN-15mg,0.04307,233.094,41.8504,1.2862136707043699,0.8862818619608133,0.3999318087435566
AT2016cvv,0.04404,290.12,54.2087,1.3598868025267303,1.016674649962315,0.3432121525644154
2005ku,0.04397,344.927,-0.0137,1.1920236168460514,0.7006653689256157,0.4913582479204357
1992bh,0.0451,74.8628,-58.8304,1.4053304495006609,-0.14849763818938688,1.5538280876900479
2006gt,0.04366,14.0721,-1.6294,1.5211382041177064,0.6621418122723604,0.858996391845346
2006hx,0.04429,18.4888,0.3717,1.3318876801476935,0.6801913316567262,0.6516963484909674
PS16cqa,0.04433,234.779,9.2946,1.7389690372570885,0.9846152246318054,0.7543538126252831
PSNJ1204051,0.04502,181.021,14.0681,1.2487281175756886,0.8690103842818317,0.37971773329385683
2005hc,0.04496,29.1998,-0.2137,1.2844762016080313,0.6578099545243438,0.6266662470836876
2005hc,0.04496,29.1998,-0.2137,1.3073198450386105,0.662704742875945,0.6446151021626655
SN2016esh,0.04488,241.06,16.6902,1.0384840805902436,0.9168055046086994,0.12167857598154419
PS17tn,0.04549,145.807,41.3173,1.2625907632166784,0.8937170507801815,0.3688737124364969
2008050,0.04627,204.198,5.1418,1.026942822824013,0.7095439354074634,0.31739888741654954
AT2016ews,0.04612,225.652,23.3528,1.2645082510484555,0.9404347659151338,0.3240734851333218
2005lz,0.04541,32.7073,34.9828,1.2436987127853973,0.7999241027216738,0.44377461006372354
360156,0.04673,150.807,1.8953,1.353392841240529,-0.21006636555467828,1.5634592067952071
2004gu,0.0467,191.603,11.9489,1.230834210374109,0.6800977804634256,0.5507364299106834
2008cf,0.04692,211.886,-26.5518,1.1838453277623109,0.5234310619962279,0.660414265766083
2008cf,0.04692,211.886,-26.5518,1.1851032881777273,0.6041278675770659,0.5809754206006613
AT2017yk,0.04764,146.133,-12.3082,1.6221762479170103,0.8381459897308265,0.7840302581861838
2016afk,0.04677,155.625,15.0966,1.3975908459970057,0.8707328599493553,0.5268579860476503
PS16fa,0.04734,154.819,4.7617,1.4292403861437815,0.8000609948514479,0.6291793912923336
PS15aii,0.04768,191.19,9.7597,1.348098908345603,0.8587148001942474,0.4893841081513556
PS17akj,0.0478,207.455,-3.08,1.2633380048308425,0.8507174213175047,0.41262058351333775
ATLAS16agv,0.04777,250.29,50.9724,1.190524628720713,0.9864870620465735,0.20403756667413941
ASASSN-15pm,0.04777,24.6504,-4.6798,1.1468178600282395,0.895081127041626,0.2517367329866135
1995ac,0.04867,341.392,-8.7513,1.040871468386484,0.20600594575651482,0.834865522629969
AT2016gmg,0.04839,320.924,33.1147,1.491097290456778,1.030822297353941,0.46027499310283715
1990af,0.05018,323.747,-62.7371,1.4206729591626936,0.27406408034000634,1.1466088788226874
PS16el,0.04896,162.802,19.3625,1.2831123360616488,0.8636944897062632,0.4194178463553856
2006cq,0.04928,201.105,30.9563,1.3418765665507624,0.7235083054929885,0.6183682610577739
1993ag,0.05019,150.894,-35.4626,1.427747697451575,0.35317727198425086,1.074570425467324
PS15asb,0.04952,215.085,-9.3009,1.2960311877244417,0.8248231623432972,0.4712080253811445
1998dx,0.0498,272.8,49.8613,1.3592802051726158,0.22528474436680307,1.1339954608058127
PS16dnp,0.04998,344.915,2.1498,1.5270502455595898,0.9461391253015176,0.5809111202580722
2007kh,0.04944,48.8004,43.1703,1.2934205224167727,-0.23928630501830386,1.5327068274350766
ASASSN-17eb,0.0497,234.642,13.3478,1.293924425788962,0.9248691029301033,0.36905532285885867
PS15brr,0.05063,358.356,-15.6545,1.2102789408429293,0.8959554551025326,0.3143234857403967
2008hu,0.05071,122.312,-18.6536,1.4958711854543896,0.5282357510888906,0.9676354343654989
AT2016cor,0.04995,236.13,16.3035,1.6578144795578045,0.9944725640871199,0.6633419154706846
PS16fbb,0.05139,1.7631,-20.6968,1.518153244842612,0.8809477931101473,0.6372054517324648
2003ic,0.05196,10.4593,-9.3053,1.160510472878883,0.45050882591609154,0.7100016469627916
ASASSN-16hc,0.05165,209.768,33.139,1.1989060465066455,0.9668167537854274,0.23208929272121803
1993O,0.05148,202.785,-33.2152,1.4798946554772552,0.4013264188969268,1.0785682365803284
2006ot,0.05232,33.7702,-20.7662,1.5355876242417659,0.6870879807395873,0.8484996435021785
2006ot,0.05232,33.7702,-20.7662,1.3192905654124976,0.7575675927794737,0.5617229726330238
AT2016htn,0.05229,32.8711,-16.5102,1.5517672629594854,0.8933974883566322,0.6583697746028532
PS16evk,0.0532,338.344,-1.357,1.4859781840399686,0.9415925012595037,0.544385682780465
PS16n,0.05268,75.9333,3.4125,1.4447759156190196,0.9115198974866249,0.5332560181323948
2010dt,0.05291,250.811,32.6751,1.4853511512465898,0.5068252498712615,0.9785259013753282
2006lu,0.05449,138.824,-25.6001,1.4336347633629012,0.5523274109532313,0.8813073524096698
PS16bby,0.0543,215.075,-22.189,1.5034475593697993,0.7690007395319879,0.7344468198378115
PS16ayd,0.05485,216.826,-1.6753,1.389088402289122,0.8862396630807311,0.5028487392083908
SN2017cpu,0.05529,211.969,9.642,1.1922489710574644,0.9498029714167388,0.24244599964072566
490007,0.05513,184.268,46.6275,1.4788035156887398,-0.06781508399270686,1.5466185996814468
AT2017oz,0.05641,211.673,30.3188,1.3838938011861277,0.9753167233232509,0.4085770778628768
2006py,0.05658,340.425,-0.1369,1.4678371087943396,0.755373161735676,0.7124639470586636
PS16aer,0.05668,163.742,14.2716,1.6203054097709222,0.9137853791245496,0.7065200306463726
2005hj,0.05631,21.7017,-1.2381,1.480034848420621,0.7355811092508087,0.7444537391698123
2008eq,0.0568,255.03,23.1324,1.638928404173152,0.796110005198002,0.84281839897515
2006ob,0.0576,27.9506,0.2633,1.6235077900853199,0.7242091937127474,0.8992985963725725
2006ob,0.0576,27.9506,0.2633,1.5915355153370732,0.7247769985146202,0.866758516822453
SN2016gmb,0.05708,8.6861,-6.1589,1.4278555557510024,0.9674528178181736,0.4604027379328288
2001ah,0.05837,167.624,55.1608,1.4220852438079032,0.6445990267782452,0.777486217029658
2001ah,0.05837,167.624,55.1608,1.5492340649443843,0.5918751670111251,0.9573588979332592
LSQ13crf,0.05934,47.7093,1.4219,0.8109993739563328,-0.386056144017519,1.1970555179738518
SN2017cjv,0.06079,152.69,-3.7775,1.516955817646362,0.9045966401653607,0.6123591774810013
2008bz,0.0613,189.741,11.1295,1.5856999533213232,0.702583240575375,0.8831167127459482
2008bz,0.0613,189.741,11.1295,1.5912598257355846,0.8055120775900817,0.7857477481455029
SN2016hhv,0.06067,353.952,20.7088,1.5815070608222916,1.0786301309854793,0.5028769298368123
2008go,0.06116,332.687,-20.7881,1.4431474563614195,0.6844961601019911,0.7586512962594284
2008go,0.06116,332.687,-20.7881,1.446463061984163,0.6785100151533241,0.7679530468308389
2006oa,0.06142,320.929,-0.8435,1.4418651552348563,0.7528158448327592,0.689049310402097
1992bs,0.0637,52.3749,-37.2718,1.7205616977058475,0.4765208350768778,1.2440408626289696
SN2016aqb,0.06419,170.493,-13.9837,1.3066847572466391,0.8388971498741868,0.4677876073724523
PS16bnz,0.06398,155.154,-2.4668,1.4569425258608064,0.8945789414643206,0.5623635843964858
2007ae,0.06485,255.467,79.0318,1.3294769933142303,0.8138350766033344,0.5156419167108959
PS15cms,0.06603,149.646,0.743,1.5839813616890417,0.9575487750067632,0.6264325866822785
6057,0.06652,52.5536,-0.9746,1.4974343699572679,-0.1489292284205271,1.646363598377795
SN2016ixf,0.06723,159.936,15.0347,1.607327295061519,1.0112512605940553,0.5960760344674636
AT2016aj,0.06731,70.6025,-21.7244,1.5447646007395106,0.9039087564275048,0.6408558443120058
PS15bjg,0.06758,343.793,-0.4102,1.7394688155996834,1.0257390295023592,0.7137297860973242
CSS160129,0.06841,115.123,10.9333,1.3720738188694765,0.9755484139259392,0.3965254049435374
2006al,0.06908,159.868,5.1834,1.6527967566645252,0.7089622157408747,0.9438345409236505
PTSS17-niq,0.0691,215.069,15.3417,1.4935445589907177,0.9790879076984665,0.5144566512922512
1993B,0.07076,158.717,-34.4417,1.4584521324391015,0.4409689853057906,1.017483147133311
2008Y,0.07028,169.877,54.4628,1.4819450090798407,0.8442667230926812,0.6376782859871595
2008Y,0.07028,169.877,54.4628,1.479855413228115,0.9186580453527363,0.5611973678753787
PS17yt,0.07046,150.992,49.0412,1.5611094399715497,1.0711219707498856,0.48998746922166414
PS16em,0.07113,163.892,-3.3663,1.7111569493642653,1.1996469788650421,0.5115099704992232
2006on,0.07068,328.994,-1.0702,1.5730271009519623,0.8949343185916285,0.6780927823603338
470043,0.07061,128.994,44.7675,1.8491140464486415,-1.6498359540134464,3.498950000462088
ATLAS16bwu,0.07074,18.5927,-13.1531,1.5168622493451147,0.9954846190477371,0.5213776302973776
PS15bdr,0.07094,253.706,36.7252,1.6005589308275956,1.161986059805734,0.4385728710218615
PS15bwh,0.07149,352.644,-18.8915,1.302881458531812,0.9822269696248079,0.3206544889070041
370566,0.07134,159.985,58.4149,1.5402048495951428,-0.05603816349613139,1.5962430130912741
PS15mt,0.07193,148.684,23.1981,1.5571236748329205,0.9971563114516129,0.5599673633813076
2007jd,0.07196,44.9724,1.1607,1.7854371108149505,0.8488971615838813,0.9365399492310692
PS15atx,0.07301,195.827,-23.0658,1.6988994930640509,0.9874168801037806,0.7114826129602703
Gaia16aki,0.07398,239.794,14.6416,1.5169049786307178,1.03269852582564,0.4842064528050778
1992ae,0.07478,322.075,-61.5504,1.4486218222767921,0.41054153097161866,1.0380802913051734
PS17bii,0.07467,171.409,7.3336,1.4582085953119766,0.9932814542882139,0.46492714102376265
7876,0.0749,19.1825,0.7946,1.427929834557833,-0.053548060866802194,1.4814778954246353
2005ir,0.0749,19.1825,0.7946,1.5042928848749424,0.8109747606531363,0.693318124221806
2010hs,0.07514,36.4131,24.7649,1.7012970734976987,0.24032992568594969,1.460967147811749
AT2016gsu,0.07529,17.1024,21.1516,1.5760021803395565,1.1576763498856295,0.418325830453927
370333,0.07557,164.38,57.2977,1.5378203198881792,-0.025040843717692322,1.5628611636058716
PS15bif,0.07855,305.074,-23.7435,1.3870588395420644,0.9119680657299364,0.47509077381212805
Gaia16acv,0.07833,179.957,54.8022,1.6044189254815566,1.0759761408886614,0.5284427845928952
17186,0.07849,31.6128,-0.8995,1.8588227745556827,-0.00970168587477116,1.8685244604304538
2007hx,0.07849,31.6128,-0.8995,1.937632346335859,0.8389478908902512,1.0986844554456077
560033,0.07869,353.599,-0.6831,1.4729092963356492,-1.507141392016679,2.9800506883523283
12779,0.07891,309.472,1.2211,1.6722020443066525,-0.03645230098778063,1.7086543452944332
PS15bzz,0.07901,9.4247,1.7628,1.3916974836582001,1.018447103360456,0.37325038029774404
350316,0.07966,131.469,43.8188,1.3928570245893077,-0.010130977241764302,1.402988001831072
2005ag,0.08024,224.182,9.3285,1.396541780489872,0.778748942848526,0.6177928376413461
12950,0.08141,351.667,-0.8403,1.461557773324854,-0.0634113947845753,1.5249691681094293
130308,0.08221,213.238,52.7437,1.5727657490964417,0.02439732134017994,1.5483684277562617
12898,0.08255,26.7931,-0.147,1.360696765694479,-0.10133261857228185,1.4620293842667609
12781,0.08282,5.4066,-1.01,1.7460438777223473,-0.026651779351039462,1.7726956570733867
SN2016glp,0.08366,354.058,23.696,1.5691320668239026,1.1717563098450159,0.3973757569788867
3592,0.08544,19.0524,0.7919,1.3650284275333702,-0.04371670268210112,1.4087451302154712
SN2016grz,0.08656,28.8874,33.8229,1.2985298358169142,1.1385001994578166,0.16002963635909762
1241,0.08848,337.672,-0.7766,1.1969928321583816,-0.05739694951311605,1.2543897816714977
590194,0.09015,130.237,44.5243,1.2016987393498058,0.014871818265301942,1.1868269210845037
370066,0.09066,130.349,43.0544,1.2645113588666805,0.061203563850440235,1.2033077950162403
300105,0.09181,351.71,-0.7301,1.3687986799516594,-0.004429659159954413,1.3732283391116138
iPTF17dz,0.09284,126.107,24.9978,1.3198733306917092,-0.11015832379025181,1.4300316544819611
010010,0.09968,150.859,1.0294,1.1644263998513162,-0.06750054015332144,1.2319269400046378
160099,0.10142,214.667,54.1831,0.9301803751955728,0.040316644181718986,0.8898637310138539
000190,0.10237,148.988,2.2635,1.022029566752419,-0.08415917426796779,1.1061887410203868
140181,0.10231,183.738,46.845,0.8368876160777441,0.020857245791047342,0.8160303702866968
100405,0.10298,53.6285,-27.3206,0.823692105189433,-0.11762116787511578,0.9413132730645488
13135,0.10338,4.1723,-0.4245,0.9409196286433983,-0.00328400786173004,0.9442036365051283
20064,0.10351,358.586,-0.9176,0.7353931806354405,0.009500816721646321,0.7258923639137942
13038,0.10485,347.827,0.5046,0.826021512457364,-0.4051452909042085,1.2311668033615724
18697,0.10638,11.2239,-0.9971,0.6115780086588851,-0.007780459116613847,0.619358467775499
20625,0.10684,5.6834,-0.479,0.8291399325073345,0.00044644253608217,0.8286934899712524
3256,0.10694,329.268,-0.2235,0.8089053374750931,0.011411445564633776,0.7974938919104593
120225,0.10728,150.818,3.4749,1.1379674651243559,0.30104405340657603,0.8369234117177798
21034,0.10751,28.1414,1.2441,0.8292707352863823,0.007127869325153968,0.8221428659612283
500038,0.1081,150.193,2.5513,0.6348545180224371,-0.07113233727015832,0.7059868552925954
7147,0.10886,350.018,-0.0554,0.7232747422265713,0.0008664174522106938,0.7224083247743606
020027,0.10988,186.336,46.0152,0.7619491250526776,0.06696186761461567,0.694987257438062
18650,0.11243,328.447,0.0151,0.6247995976839941,0.006288804829770636,0.6185107928542234
18612,0.11365,12.2879,0.597,0.4365015786711297,0.024498515748015648,0.41200306292311406
8719,0.11628,7.7215,-0.7188,0.3844233447581626,0.027541648224663345,0.3568816965334992
5395,0.11635,49.6409,0.1233,0.4261814451470578,0.009103491603561276,0.4170779535434965
2561,0.11741,46.3434,0.8584,0.39872405857772,-0.011421871832169972,0.41014593040988995
16259,0.11771,352.03,0.8564,0.5023599389488584,0.05488596754225872,0.4474739714065997
1371,0.11797,349.374,0.4294,0.12906003579203068,0.04980305044124172,0.07925698535078896
000137,0.11878,161.159,57.8111,0.36707149979934645,0.09404286953931157,0.2730286302600349
5549,0.11992,3.2505,0.2482,0.2757061301239523,0.018246445286235008,0.2574596848377173
12860,0.12042,323.694,1.1759,0.5172422315055931,0.07064034667613212,0.446601884829461
490008,0.12067,131.449,44.4206,0.243293020016648,-0.6737057779630927,0.9169987979797407
19953,0.1219,332.931,0.5791,0.11888709093781466,0.07669584746259893,0.04219124347521573
390259,0.12208,242.396,53.8672,0.22741050767295232,0.09908462368441084,0.12832588398854147
18835,0.12262,53.6851,0.3555,0.2159612230206287,-0.003013154226704451,0.21897437724733315
2916,0.12303,315.922,0.5696,0.21013760398868075,0.0689686051685717,0.14116899882010905
16021,0.12336,13.8437,-0.3888,0.16452900365362824,0.009570520372543218,0.15495848328108502
13894,0.12356,1.6906,-0.0368,0.34693081972222917,0.0060547574510881885,0.340876062271141
570062,0.12363,353.102,0.2956,0.3263363750144654,0.08878309422372985,0.23755328079073554
6406,0.12377,46.0886,-1.063,0.16976756296872333,-0.015104131480069477,0.1848716944487928
19543,0.12384,357.908,0.2798,0.39353536537992595,-0.2917536887644545,0.6852890541443805
13044,0.12455,332.543,0.5033,0.23730483365627403,0.03333188504961411,0.20397294860665993
15459,0.12542,340.701,-0.9018,0.6169116604683882,0.01745887428633236,0.5994527861820558
2992,0.12608,55.497,-0.7827,0.011077824926198326,-0.009767886705348505,0.02084571163154683
16069,0.12688,341.246,-1.0066,0.21901914192629718,0.07323820530755193,0.14578093661874525
744,0.12694,329.198,0.3175,0.038098444232475465,0.012334076556560297,0.025764367675915167
14871,0.12705,54.2771,0.0094,0.06138988336925749,0.024602152645438954,0.03678773072381854
18855,0.12716,48.6323,0.2698,0.15829610465112384,0.008132689845807423,0.15016341480531642
22075,0.129,29.9631,1.2165,0.1526750548092135,0.012381232754871824,0.14029382205434168
1032,0.12904,46.7957,1.1196,0.3050651633262133,0.0333624042241642,0.2717027591020491
5751,0.12929,11.6342,0.8382,0.15428921845203786,0.0783768741272835,0.07591234432475436
18415,0.1294,337.478,1.0586,0.21102345674027503,0.04009201840298638,0.17093143833728866
18809,0.13153,50.8813,0.6666,0.08333796737970965,0.013714214113589973,0.06962375326611968
151034,0.13269,185.137,46.6661,-0.06736841623553402,0.13735730706744192,-0.20472572330297595
1334084,0.13349,41.734,-0.6906,0.0753068200551072,-0.0317005026015133,0.1070073226566205
15508,0.13353,27.169,-0.5766,-0.037094523825031034,0.03433255925585753,-0.07142708308088856
14108,0.13463,53.5946,-1.1232,0.372394282904281,-0.2535079037480035,0.6259021866522845
15234,0.13514,16.9583,0.8282,0.20139485709207683,0.029869864358413767,0.17152499273366306
000014,0.13599,35.878,-4.6363,0.025676186284203366,0.1569195101355267,-0.13124332385132334
17629,0.1364,30.6364,-1.0892,-0.022437025723898246,0.039151660762610674,-0.06158868648650892
19775,0.13687,318.956,0.6513,0.13205160587455364,0.08461651113762653,0.047435094736927114
18602,0.13696,338.984,0.6092,0.015304966130502858,0.03981031306235591,-0.024505346931853054
21062,0.13729,333.432,0.3963,0.39303307541502336,0.07426600629098398,0.3187670691240394
17366,0.13811,315.787,-1.0292,-0.11715152581544833,0.044776565142846156,-0.16192809095829447
15171,0.13818,304.793,-1.0645,-0.05415513500005674,0.07470679405182166,-0.1288619290518784
190340,0.13824,334.134,0.4733,0.026928849712135758,0.10226379537649682,-0.07533494566436107
20084,0.13834,347.975,-0.5781,0.125961100712028,0.08982721970932006,0.03613388100270795
12928,0.13868,305.009,-0.9757,0.04711476313132229,0.0942404210100505,-0.04712565787872822
190230,0.13864,333.937,0.4225,0.13472902093709185,0.08209347696817418,0.052635543968917675
090275,0.13959,54.0721,-28.0515,0.08108652397857248,-0.07701050946046217,0.15809703343903464
1794,0.1407,317.837,-0.4453,0.1180896214909557,0.03250349627992466,0.08558612521103104
17208,0.14084,1.4916,1.1031,0.20309579308482983,-0.15052960528642034,0.3536253983712502
340229,0.14108,35.879,-2.8604,0.08844162390279747,0.05954995226688628,0.028891671635911192
1317666,0.1412,36.7711,-5.0031,0.12516241347964568,-0.07116762610138083,0.19633003958102652
2635,0.14311,52.7043,-1.2381,-0.08141612224136573,0.023881992738025548,-0.10529811497939127
17568,0.14335,313.103,0.2777,0.47352584121004543,0.07594126238751292,0.3975845788225325
190260,0.14344,333.967,-0.8252,-0.02962451463443093,0.10139393113510117,-0.1310184457695321
17497,0.14388,37.1366,-1.0421,-0.04625541949482483,0.018684913119695612,-0.06494033261452045
8921,0.1441,325.002,-0.0079,-0.11290239167850795,0.08869795222786331,-0.20160034390637127
17605,0.14533,309.203,0.0984,0.0011293220036755064,0.08418472846643696,-0.08305540646276145
1296657,0.14624,36.2552,-6.2786,0.008657518143101221,-0.043581597142344,0.05223911528544522
440008,0.14656,52.6735,-28.8632,0.031583531144308334,-0.08415164753816418,0.11573517868247252
1316385,0.14741,53.526,-27.6321,-0.2120218634046499,-0.1453730654851434,-0.06664879791950651
13796,0.14729,350.692,0.5329,-0.23586765565988022,0.04080047616551896,-0.2766681318253992
14024,0.14759,318.199,0.9163,0.0798002033949004,0.07035688926681472,0.00944331412808569
180166,0.14757,242.843,55.0642,-0.02146055588349756,0.1617512743277002,-0.18321183021119775
1293758,0.14812,8.4839,-43.3497,0.1037313337782805,-0.16265789536041944,0.26638922913869995
14437,0.14792,332.081,-1.1964,-0.19102545436588053,0.07918294143093633,-0.2702083957968169
1255502,0.14819,33.9046,-4.2092,-0.22996948501008624,0.001508661024226421,-0.23147814603431266
13736,0.14882,336.833,1.031,-0.08997816209215785,0.03923595000014346,-0.12921411209230133
2308,0.14923,34.2729,0.2803,-0.17392468685140586,-0.1385823003700722,-0.03534238648133367
000038,0.15036,35.0957,-4.6725,-0.1562001725633543,0.06217426732465872,-0.21837443988801303
460003,0.15067,128.835,43.8555,-0.034411185842670756,0.12528875808023124,-0.159699943922902
2031,0.15186,312.043,-1.1714,-0.2578754333356288,0.10611625363804478,-0.36399168697367357
18323,0.15272,3.4286,0.6522,0.04660649085928563,0.059959262594730514,-0.013352771735444885
15132,0.15304,329.7,0.1977,-0.13831898651440905,0.049045307700700355,-0.18736429421510942
18740,0.15317,16.8553,1.0437,-0.15619542454313162,0.048819386564646405,-0.20501481110777803
19353,0.15325,43.1144,0.2518,-0.04483195679408657,0.03377554442567032,-0.07860750121975689
16073,0.15339,8.1078,-1.054,0.050574113421894024,0.04468480793161528,0.005889305490278746
5550,0.15493,3.5983,0.3331,-0.19806631729894436,0.02892910931840295,-0.2269954266173473
16116,0.15509,355.302,-1.1058,-0.07875026606675907,0.09065857641873933,-0.1694088424854984
18030,0.15518,4.933,-0.4001,0.11439792322151984,0.07921842672262305,0.03517949649889679
19940,0.15591,315.393,-0.2685,-0.4021474223183749,0.07302469405237005,-0.47517211637074497
13354,0.15654,27.5648,-0.8873,-0.14102145994797255,0.046621718769117526,-0.18764317871709008
16206,0.15838,5.7882,-0.0536,-0.14730170531399922,0.08201443322327095,-0.22931613853727018
440042,0.15906,35.9021,-3.294,0.1376505976934593,-0.4726592504137302,0.6103098481071895
14782,0.15922,314.234,-0.279,-0.4027563055015908,0.06721373805252603,-0.46997004355411687
15425,0.15935,55.5611,0.4783,-0.32549728372088815,0.005032115905597351,-0.33052939962648553
1299775,0.16009,53.4389,-29.6767,-0.2613870175415015,-0.13355780858265687,-0.12782920895884464
3317,0.15991,26.9626,0.6406,-0.11366436167571982,0.056761811307904975,-0.17042617298362478
2689,0.16036,24.9003,-0.7587,-0.22202021855876025,0.0130528488824041,-0.23507306744116435
390627,0.16045,212.627,53.9,0.06928523346830745,-0.2753497415656931,0.34463497503400053
5103,0.1606,359.884,0.7372,-0.1518687971074914,0.059259190794982125,-0.21112798790247353
120336,0.16134,149.082,1.4095,-0.06030982295439926,0.021907044183767627,-0.0822168671381669
17825,0.1622,32.9471,-0.9124,-0.0762189237793286,-0.13902356415079714,0.06280464037146855
19174,0.16357,25.6597,1.0304,-0.09489872290842617,0.12414144534321259,-0.21904016825163874
3087,0.16431,20.4067,-0.9772,-0.2013219483252685,0.03695485711691571,-0.23827680544218421
19616,0.16455,37.1011,0.1847,-0.12864966306394973,0.03578706017797931,-0.16443672324192904
20764,0.16478,26.1208,0.2298,-0.08920768553224392,0.07232169218257382,-0.16152937771481773
20430,0.16593,312.417,0.4686,0.09814602381300079,0.13124559296253707,-0.03309956914953628
12843,0.16595,323.878,-0.9803,-0.21763976438619392,0.09883004127473444,-0.31646980566092836
12853,0.16817,316.766,0.7231,-0.20448852505624004,0.12312701309200744,-0.3276155381482475
350233,0.16935,149.466,3.4824,0.026580698741020065,0.027677215181835274,-0.0010965164408152095
17389,0.1696,323.295,-0.9601,0.12387796742624685,0.06652923814059858,0.05734872928564827
12856,0.17029,332.866,0.756,-0.11568899048049432,0.06236545389654745,-0.17805444437704177
590005,0.17137,151.018,1.2155,-0.016615026217331554,-0.44460899202573,0.42799396580839844
310039,0.17156,36.2156,-3.3448,-0.05679132310805987,0.09377393829446432,-0.1505652614025242
19282,0.17239,359.072,-0.5059,-0.11757599444651995,0.07674758269732318,-0.19432357714384313
1303279,0.17274,54.9068,-27.813,-0.35952739315506077,-0.09753937223540754,-0.26198802091965323
100090,0.17282,131.828,43.4081,0.23532691012768753,0.1407373394139315,0.09458957071375604
3080,0.17315,16.9323,-1.0395,-0.1895326459834995,0.05297080340587226,-0.24250344938937177
15897,0.17357,11.6814,-1.0329,0.10118959391312014,0.12689070374299175,-0.025701109829871602
120143,0.1736,163.682,58.6266,-0.22231817271237103,0.13765772986618902,-0.35997590257856005
15648,0.17383,313.718,-0.1948,0.13667575156106307,0.23653550414575747,-0.0998597525846944
14421,0.174,31.8299,1.2521,0.011767041102725737,0.0621685730186866,-0.05040153191596086
16165,0.17405,30.7331,-0.5339,-0.27584693623859674,0.08991349248067602,-0.3657604287192728
5350,0.17431,307.219,-0.7792,-0.06052513562437538,0.13287376250093788,-0.19339889812531325
15583,0.17427,37.7311,0.9463,0.00340128799931012,0.10309625920995041,-0.09969497121064029
19969,0.17428,31.9105,-0.324,-0.08485661747921487,0.05552801271625979,-0.14038463019547465
